,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.11861572265625,0.007245132125669224,0.08250360488891602,0.00900171028553512,0.5,0.05,rbf,"{'C': 0.5, 'gamma': 0.05, 'kernel': 'rbf'}",0.98125,0.975,0.984375,0.959375,0.984375,0.976875,0.009395810236483072,43,0.99609375,0.9953125,0.9953125,0.99765625,0.996875,0.9962500000000001,0.0009110862335695607
11,0.38580007553100587,0.18261279197828537,0.18147940635681153,0.05622426089771698,0.5,0.075,rbf,"{'C': 0.5, 'gamma': 0.075, 'kernel': 'rbf'}",0.978125,0.975,0.984375,0.95625,0.98125,0.975,0.009882117688026163,54,0.996875,0.9984375,0.9984375,0.99921875,0.9984375,0.99828125,0.0007654655446197676
12,0.3971557140350342,0.06667511380403368,0.13695082664489747,0.034283100376470275,0.5,0.1,rbf,"{'C': 0.5, 'gamma': 0.1, 'kernel': 'rbf'}",0.965625,0.971875,0.984375,0.95625,0.98125,0.971875,0.010269797953221848,56,0.99921875,0.99921875,0.99921875,1.0,0.9984375,0.99921875,0.0004941058844013163
13,0.5241313934326172,0.04356760074385955,0.3094193935394287,0.05983984297773016,0.5,0.5,rbf,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}",0.1875,0.190625,0.271875,0.1875,0.2,0.20749999999999996,0.03251201700909987,71,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.15268306732177733,0.029855878737638984,0.13863821029663087,0.05110516934107884,0.5,scale,rbf,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.98125,0.978125,0.984375,0.95625,0.9875,0.9775,0.011075028216668333,41,0.990625,0.990625,0.9921875,0.99296875,0.99140625,0.9915625,0.0009110862335695721
15,0.10013260841369628,0.015529403436224162,0.08117461204528809,0.011077202264134722,0.5,auto,rbf,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'rbf'}",0.978125,0.978125,0.984375,0.95625,0.9875,0.9768749999999999,0.010933034802834932,50,0.98671875,0.9875,0.9875,0.9921875,0.9890625,0.98859375,0.0019515618744994916
16,0.07222528457641601,0.017638039003140663,0.07651562690734863,0.01349084356826046,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.978125,0.975,0.9875,0.953125,0.9875,0.97625,0.012593401049756195,51,0.98671875,0.9859375,0.9875,0.9921875,0.9875,0.98796875,0.0021874999999999946
17,0.09223260879516601,0.012496071850878969,0.07642483711242676,0.014422278911850927,1,0.025,rbf,"{'C': 1, 'gamma': 0.025, 'kernel': 'rbf'}",0.984375,0.978125,0.9875,0.959375,0.9875,0.9793750000000001,0.010569709078304873,31,0.99375,0.996875,0.99609375,0.996875,0.99609375,0.9959374999999999,0.001148198316929592
18,0.1399209976196289,0.014689524060222314,0.08601737022399902,0.009840670386764108,1,0.05,rbf,"{'C': 1, 'gamma': 0.05, 'kernel': 'rbf'}",0.984375,0.98125,0.984375,0.965625,0.990625,0.98125,0.008385254915624224,21,0.99921875,0.99921875,0.99921875,1.0,0.9984375,0.99921875,0.0004941058844013163
19,0.22820525169372557,0.013970514560515726,0.09700250625610352,0.013121686742896082,1,0.075,rbf,"{'C': 1, 'gamma': 0.075, 'kernel': 'rbf'}",0.984375,0.984375,0.984375,0.959375,0.9875,0.9800000000000001,0.01038327982864761,23,1.0,0.99921875,0.99921875,1.0,0.99921875,0.9995312500000001,0.00038273277230984986
